Features,المميزات
Are you sure you would like to remove this item from the quote cart?,هل أنت متأكد أنك ترغب في إزالة هذا العنصر من سلة عرض الاسعار؟
Discount (%1),الخصم (%1)
"You used coupon code ""%1"".","لقد استخدمت رمز القسيمة ""%1""."
Shipping & Handling (%1),الشحن والتسليم (%1)
No record found for the given details please check your Email or Order Id.,لم يتم العثور على سجل للتفاصيل المقدمة، يرجى التحقق من بريدك الإلكتروني أو رقم الطلب.
complete,مكتمل
canceled,تم الإلغاء
Discount,خصم
Discount Amount,مقدار الخصم
%1 - Discounts and Coupons,%1 - الخصومات والقسائم
Coupons/Discounts,القسائم/الخصومات
Promotions,العروض الترويجية
Coupon,قسيمة
Coupon Code,رمز القسيمة
Coupons,قسائم
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","تطبيق الضريبة ""قبل الخصم"" ، الخصم النهائي قد لا يتطابق مع توقعات العملاء."
"The coupon code ""%1"" is not valid.","رمز القسيمة ""%1"" غير صالح."
Percent Discount,نسبة الخصم
%1 and above,%1 و ما فوق
Set a New Password,تعيين كلمة مرور جديدة
Please specify a shipping method.,يرجى تحديد طريقة الشحن.
Print Quote,طباعة عرض السعر
DATE,تاريخ
QUOTATION,عرض السعر
REQUEST NO:,رقم الطلب:
Submit & Print Quote,إرسال و طباعة عرض السعر
Enter your details,أدخل التفاصيل الخاصة بك
Notify Me,اعلمني عند توفر المنتج
Your email address here...,عنوان بريدك الإلكتروني هنا ...
%1 has been added to your Wish List.,%1 تم إضافته إلى قائمة رغباتك.
Pickup from Store - Free,الاستلام من المتجر - مجاني
Pickup from Store,الاستلام من المتجر
Free,مجانا
Email*,البريد الإلكتروني*
You already have an account with us. Sign in or continue as guest.,لديك حساب بالفعل معنا. قم بتسجيل الدخول أو الاستمرار كضيف.
Sorry no quotes are available for this order at this time,عذرًا  لا تتوفر عروض أسعار لهذا الطلب في الوقت الحالي
Thanks for subscribe we will notify when product back in stock.,شكرًا للاشتراك ، سنقوم بإخطارك عند إعادة المنتج.
Invalid login or password.,اسم المستخدم أو كلمة المرور غير صالحة.
Invalid login or password,اسم المستخدم أو كلمة المرور غير صالحة
The page you're trying to reach cannot be found.,لا يمكن العثور على الصفحة التي تحاول الوصول إليها.
The page you're trying to reach cannot be found,لا يمكن العثور على الصفحة التي تحاول الوصول إليها
Return to the Homepage,العودة إلى الصفحة الرئيسية
First Name*,الاسم الاول*
Last Name*,إسم العائلة*
Pages,الصفحات
Sitemap,خريطة الموقع
You have no store credit.,لا يوجد لديك رصيد في المتجر.
You have placed no quotes.,لا توجد عروض اسعار
MY CART,سلتي
You have not set a default shipping address.,لم تقم بتعيين عنوان الشحن الافتراضي.
You have not set a default billing address.,لم تقم بتعيين عنوان إرسال فواتير افتراضي.
You have no store credit history.,ليس لديك سجل رصيد في المتجر.
Email *,البريد الإلكتروني *
Do you want to remove this product?,هل تريد إزالة هذا المنتج؟
The requested qty is not available,الكمية المطلوبة غير متوفرة
Brand,العلامة التجارية
View Product,عرض المنتج
If there is an account associated with %1 you will receive an email with a link to reset your password.,إذا كان هناك حساب مرتبط بـ %1 سوف تتلقى رسالة بريد إلكتروني مع رابط لإعادة تعيين كلمة المرور الخاصة بك.
Product that you are trying to add is not available,المنتج الذي تحاول إضافته غير متاح
Apply store credit,تطبيق رصيد المتجر
Use,استخدام
from your store credit,من رصيد متجرك
No Payment Information Required,للا توجد معلومات دفع مطلوبة
Order Total Incl. Tax,إجمالي الطلب شامل الضريبة
Order Total Incl. Vat,إجمالي الطلب شامل ضريبة القيمة المضافة
Order Total Excl. Tax,إجمالي الطلب بدون الضريبة
Order Total Excl. Vat,إجمالي الطلب بدون ضريبة القيمة المضافة
You have successfully logged in using your Google account.,لقد قمت بتسجيل الدخول بنجاح باستخدام حساب Google الخاص بك.
Expiry Date,تاريخ الانتهاء
Expired,منتهية الصلاحية
N/A,لا يوجد
Order Canceled,تم إلغاء الطلب
Product Removed Successfully From The Whistlist,تم إزالة المنتج بنجاح من قائمة الرغبات
Processing,قيد المعالجة
Invalid Form Key. Please refresh the page.,مفتاح نموذج غير صالح. يرجى تحديث الصفحة.
VAT,ضريبة القيمة المضافة
vat,ضريبة القيمة المضافة
TAX,ضريبة
KSA,السعودية
We Ship to,نحن نشحن إلى
We ship to,نحن نشحن إلى
You updated your password.,لقد قمت بتحديث كلمة المرور الخاصة بك.
Your password reset link has expired.,انتهت صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك.
You saved the account information.,قمت بحفظ معلومات الحساب.
Your order,طلبك
has been updated with a status of,تم تحديثه بحالة
logging into your account,تسجيل الدخول إلى حسابك
"If you have questions about your order, you can email us at","إذا كانت لديك أسئلة حول طلبك ، فيمكنك مراسلتنا عبر البريد الإلكتروني على"
Our hours are,ساعات العمل
order_status,حالة الطلب
Thank you for your order from,شكرا لك على طلبك من
Your Credit Memo,مذكرة الائتمان الخاصة بك
for Order,للطلب
Billing Info,معلومات الفواتير
Shipping Info,معلومات الشحن
Payment Method,طريقة الدفع
Your Invoice,فاتورتك
Once your package ships we will send you a tracking number.,بمجرد شحن الطرد الخاص بك ، سوف نرسل لك رقم التتبع.
MODEL #,نموذج #
PRODUCT NAME,اسم المنتج
QUINTITY,الجودة
UNIT PRICE,سعر الوحدة
TOTAL,الإجمالي
REQUEST NO,رقم الطلب
Your Quote Request.,طلب عرض الأسعار الخاص بك.
You can check the status of your order by,يمكنك التحقق من حالة طلبك عن طريق
or call us at,أو اتصل بنا على
Once your package ships we will send an email with a link to track your order.,بمجرد شحن الطرد الخاص بك ، سوف نرسل بريدًا إلكترونيًا يحتوي على رابط لتتبع طلبك.
Your shipping confirmation is below. Thank you again for your business.,تأكيد الشحن الخاص بك أدناه. شكرا لك مرة أخرى لعملك.
Your Shipment,شحنتك
Thank you for subscribing to our newsletter.,شكراً لاشتراكك في نشرتنا الإخبارية.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","لبدء استلام النشرة الإخبارية، يجب عليك أولاً تأكيد اشتراكك من خلال النقر على الرابط التالي:"
You have been successfully subscribed to our newsletter.,لقد تم الاشتراك بنجاح في النشرة الإخبارية.
You have been unsubscribed from the newsletter.,لقد تم إلغاء اشتراكك في النشرة الإخبارية.
We have received a request to change the following information associated with your account at,لقد تلقينا طلبًا لتغيير المعلومات التالية المرتبطة بحسابك في
"If you have not authorized this action, please contact us immediately at","إذا لم تأذن بهذا الإجراء ، فيرجى الاتصال بنا على الفور"
Thanks,شكرا
Hello,مرحبا
There was recently a request to change the password for your account.,كان هناك طلب مؤخرًا لتغيير كلمة المرور لحسابك.
"If you requested this change, set a new password here:","إذا طلبت هذا التغيير ، فقم بتعيين كلمة مرور جديدة هنا:"
"If you did not make this request, you can ignore this email and your password will remain the same.","إذا لم تقم بهذا الطلب ، يمكنك تجاهل هذا البريد الإلكتروني وستظل كلمة المرور الخاصة بك كما هي."
Welcome to,مرحبا بك في
"To sign in to our site, use these credentials during checkout or on the","لتسجيل الدخول إلى موقعنا، استخدم هذه البيانات عند الدفع أو على"
Password you set when creating account,كلمة المرور التي قمت بتعيينها عند إنشاء الحساب
Forgot your account password? Click,نسيت كلمة المرور الخاصة بحسابك؟ انقر علي
to reset it.,لإعادة تعيينه.
"When you sign in to your account, you will be able to:","عند تسجيل الدخول إلى حسابك ، ستتمكن من:"
Proceed through checkout faster,إتمام عملية الدفع بشكل أسرع
Check the status of orders,التحقق من حالة الطلبات
View past orders,عرض الطلبات السابقة
Store alternative addresses (for shipping to multiple family members and friends),تخزين عناوين بديلة (للشحن إلى عدة أفراد من العائلة والأصدقاء)
You must confirm your,يجب عليك تأكيد
before you can sign in (link is only valid once):,قبل أن تتمكن من تسجيل الدخول (الرابط صالح مرة واحدة فقط):
Confirm Your Account,اكد حسابك
Payment Transaction Failed,فشلت عملية الدفع
Reason,السبب
Checkout Type,نوع الدفع
Customer:,العميل:
Items,الاصناف
Total:,المجموع:
Billing Address:,عنوان الفواتير:
Shipping Address:,عنوان الشحن:
Shipping Method:,طريقة الشحن:
Date & Time:,التاريخ والوقت:
"Sincerely","تحياتنا"
You have a new quote request placed by,لديك طلب عرض سعر جديد تم تقديمه بواسطة
Request details:,تفاصيل الطلب:
Product:,المنتج:
Comment:,تعليق:
"Best Regards,","أطيب التحيات،"
Team.,الفريق.
Thank you for contacting us!,شكراً لتواصلك معنا!
Your quote request is being processed at the moment.,طلب عرض الأسعار الخاص بك قيد المعالجة في الوقت الحالي.
We’ll get back to you as soon as possible,سنتواصل معك في أقرب وقت ممكن
This is an automatic notification about a new quote request(s) made.,هذا إشعار تلقائي بخصوص طلب(طلبات) عرض اسعار تم تقديمه.
Quotes:,عروض الأسعار:
Thank you!,شكرا لك!
Your quote request from,طلب عرض السعر الخاص بك من
has been approved.,تمت الموافقة.
You can check the status of your quote request and proceed to checkout by,يمكنك التحقق من حالة طلب عرض السعر الخاص بك ومتابعة عملية الدفع عبر
The Quote Proposal will expire on,عرض السعر سينتهي في
has been canceled.,تم إلغاء.
You can check the status of your quote request by,يمكنك التحقق من حالة طلب عرض الأسعار الخاص بك عن طريق
Quote request for,طلب عرض أسعار
has been created.,تم إنشاؤه.
Quote,عرض سعر
Issued on,تم إصداره في
has been modified.,تم التعديل.
Special promotion,عرض خاص
Click,انقر
to view,لعرض
Proposal is about to expire. Please review the price proposal and move,عرض السعر على وشك الانتهاء. يرجى مراجعة عرض السعر والمضي قدمًا
to the cart to finalize the purchase!,إلى سلة التسوق لإتمام عملية الشراء!
Thank you for your quote request from,شكرًا لطلب عرض السعر الخاص بك من
Thank you for being our loyal customer.,شكرا لكونك عميلنا المخلص.
Administrator has added,تم أضافة المسؤول
to your Store Credit.,إلى رصيد المتجر الخاص بك.
The current store credit balance is,الرصيد الائتماني الحالي للمتجر هو
Administrator has removed,تمت إزالة المسؤول
from your Store Credit.,من رصيد المتجر.
was refunded.,تم استرجاعه.
were added to your Store Credit account.,تمت إضافتها إلى حساب رصيد المتجر الخاص بك.
was paid using,تم الدفع باستخدام
was canceled.,تم الالغاء.
A comment from Administrator:,تعليق من المسؤول:
You can use it for purchasing items in our online store right away.,يمكنك استخدامها لشراء العناصر من متجرنا الإلكتروني على الفور.
Currency Update Warnings,تحذيرات تحديث العملة
About Us,من نحن
Hours of Operation:,ساعات العمل:
Product alerts cron warnings,تحذيرات تنبيهات المنتج
wants to share this product with you:,يرغب في مشاركة هذا المنتج معك:
Message from,رسالة من
You can track your order status by creating an account.,يمكنك تتبع حالة طلبك عن طريق إنشاء حساب.
Your order # is:,رقم طلبك هو:
Print Order,طباعة الطلب
Sitemap Generation Warnings,تحذيرات توليد خريطة الموقع
"If you requested this change, reset your password here:","إذا طلبت هذا التغيير ، فأعد تعيين كلمة المرور هنا:"
"Thank you,","شكرا لك،"
A new admin account was created for,تم إنشاء حساب مسؤول جديد لـ
using,باستخدام
wants to share this Wish List from,تريد مشاركة قائمة الرغبات هذه من
with you:,معك:
View all Wish List items,عرض جميع عناصر قائمة الرغبات
You can check the status of reply to this ticket online at:,يمكنك التحقق من حالة الرد على هذه التذكرة عبر الإنترنت على:
Dear,العزيز
This is an automated response confirming the receipt of your ticket. One of our agents will get back to you as soon as possible.,هذه استجابة آلية تؤكد استلام تذكرتك. سيتواصل معك أحد موظفينا في أقرب وقت ممكن.
Ticket ID,رقم التذكرة
Details,تفاصيل
Thank you for registering with,شكرا للتسجيل في
Grand Total (Incl. Tax):,الإجمالي الكلي (شامل الضريبة):
Tax:,ضريبة:
Total Shipping Charges,إجمالي رسوم الشحن
URL:,عنوان:
Shipping Company:,شركة شحن:
Tracking Code #,رقم التتبع #
We found a order detail # %1,وجدنا تفاصيل الطلب رقم # %1
Order # %1 Not shipped yet,لم يتم شحن الطلب رقم %1 حتى الآن
